q_sim,chi_eff_sim,chi_eff_90cl
4.499265937075924704e-01,6.179358342844059465e-02,3.040320336102243504e-01
2.805643032778793455e-01,-2.311789702845156724e-01,5.075457019471285580e-01
5.756020895338408438e-01,6.547877671651434195e-01,7.195875564162557136e-02
4.139223909799072398e-01,1.306698189595725534e-01,2.402815813306123649e-01
1.463060997579704037e-01,2.247690016698186966e-01,4.610053820792036072e-01
6.957345038758413480e-01,-1.867606982501837376e-01,4.478307330749213833e-01
9.418794844202051930e-01,-1.577638342554351369e-01,3.555105064763163236e-01
2.756826023344342569e-01,3.253753063741617879e-01,2.300760564080097659e-01
9.426187353572359484e-01,-7.660888936011306383e-02,3.434136322581534673e-01
3.684576928873891655e-01,-9.293560230503505881e-02,4.510433094382514385e-01
5.786028001776348795e-01,-2.135820815634639769e-01,4.707467162164359342e-01
6.232505031870327894e-01,1.736770824171202654e-01,2.307906749960538795e-01
2.908211992668311430e-01,-1.323643738991175656e-01,6.140634128858147855e-01
6.026173105811633013e-01,-6.081528665818515256e-01,4.650555538348924989e-01
5.541412754656784845e-01,1.126700570459642919e-01,2.750056135581085415e-01
8.544748039046919930e-01,1.535212497838271684e-01,2.284065551337850219e-01
4.582673134901778522e-01,-1.529724309443070696e-01,3.678386039903425164e-01
2.129404978841203389e-01,-2.134566003868409167e-01,5.607177287356086559e-01
3.431022929932896481e-01,4.685642634506737014e-01,1.592693657729604140e-01
9.041454001968745047e-01,7.109982594129518087e-03,2.487375143961852997e-01
2.438677002964015073e-01,7.079827854251913299e-02,3.759818726538881606e-01
5.890914853776267890e-01,3.256349347884912593e-01,1.673034235284907578e-01
1.422088020547145060e-01,-5.562845041973225185e-02,7.488483791516680199e-01
6.712663084016322612e-01,8.936471199890104467e-02,1.834148028483971737e-01
4.715162938310262231e-01,-4.446836466464313964e-01,5.446184996680820678e-01
3.727931951015438505e-01,-1.877882400063026203e-01,6.242172208746725737e-01
2.706117003817036237e-01,-1.929585549928828081e-01,3.518098654058423591e-01
7.742273783483663019e-01,-1.012220394285059250e-01,3.230342702394223831e-01
3.404296057235281503e-01,7.275116540902430984e-01,9.269829332129209121e-02
7.433243581493983454e-01,5.223291268701656387e-01,9.263831762969892969e-02
9.078119012117353837e-01,-8.365627872154114686e-02,3.184138280366067275e-01
3.813752940887994991e-01,4.202575890523071456e-01,1.737042494532100578e-01
6.406521772906230705e-01,-2.362183665836579682e-01,3.414380679515005568e-01
4.432340998097435425e-01,7.461150177765023782e-03,3.033633921193201743e-01
8.498914972603058837e-01,-2.721710829421146796e-02,2.433673905340653087e-01
4.487217001741615197e-01,-2.884335066641273149e-01,4.751818841492501666e-01
5.052984919065206526e-01,3.083854111337670789e-02,2.458811796674083838e-01
9.176836971939001941e-01,-2.726473711881139961e-01,4.123925659247126285e-01
9.303523422268854537e-01,2.909923015602787766e-01,1.662675752536974250e-01
8.479125867464673005e-01,-2.709083843704369610e-01,3.207328523317646285e-01
1.424751990980692995e-01,-7.938119151449223032e-02,5.374689080871145608e-01
1.423131983418395585e-01,-1.720351343810149480e-01,6.597750613694590704e-01
1.248971969061776627e-01,6.068123629183036494e-01,1.791359168562737803e-01
4.401077966521126372e-01,-1.080030469950210986e-01,4.008458915165566960e-01
5.073939091398008694e-01,-4.383988227913032665e-01,5.407137666519588048e-01
7.942500044378570934e-01,-8.904684482466623460e-03,2.063732032361260404e-01
8.168483149919258945e-01,2.393752474775179273e-02,3.013296972224491221e-01
6.986973183698536038e-01,1.637296997662619769e-01,2.464516466737222133e-01
1.369556954271741178e-01,1.348137748498839106e-01,6.217928961678391708e-01
5.715402093030084174e-01,3.813282161891735217e-02,2.224682984597340651e-01
9.614465022488924983e-01,-1.174298562885764119e-01,4.971469412587962988e-02
5.983914202583924258e-01,7.634679756173138321e-01,1.049214869582633103e-01
4.669818004971194592e-01,1.417812704465126923e-02,2.614098633813080053e-01
3.331138044360212880e-01,9.390439824835054849e-02,3.045414866432998857e-01
2.921463024159587918e-01,1.777050079093606301e-03,3.858019905219994827e-01
3.263071044620554639e-01,9.092874603438916292e-02,3.082241031028995493e-01
3.864966138173332455e-01,9.594030073738688685e-03,3.569493826762316635e-01
9.658886982798309262e-01,3.962159802144366583e-01,1.531257790402420493e-01
8.789274014352586040e-01,3.823195634672314769e-02,2.869240738031802462e-01
