# fi,prior,high,flat,low
8.208208208208207790e-02,1.000000000000000000e+00,1.470282361467945909e-03,1.827548548664994707e-02,9.722560849844329167e-02
8.308308308308308410e-02,1.000000000000000000e+00,1.519059511846462037e-03,1.860036265430788788e-02,9.820037013398091874e-02
8.408408408408407642e-02,1.000000000000000000e+00,1.569633291575949982e-03,1.894325746545453409e-02,9.922014858670204218e-02
8.508508508508508261e-02,1.000000000000000000e+00,1.619048186024150396e-03,1.926126667573815898e-02,1.001818837060540063e-01
8.608608608608608881e-02,1.000000000000000000e+00,1.671536573320534869e-03,1.959407764540027977e-02,1.011523970033625652e-01
8.708708708708708113e-02,1.000000000000000000e+00,1.724132325565789136e-03,1.993401726823824938e-02,1.021473535091284995e-01
8.808808808808808732e-02,1.000000000000000000e+00,1.777131348224029843e-03,2.027020891573098199e-02,1.031446356486134530e-01
8.908908908908909352e-02,1.000000000000000000e+00,1.834387149105930117e-03,2.062271812193142151e-02,1.042002438318521407e-01
9.009009009009008584e-02,1.000000000000000000e+00,1.890289640032387407e-03,2.097061795055560340e-02,1.052012798054366149e-01
9.109109109109109204e-02,1.000000000000000000e+00,1.946548663491719233e-03,2.133201979956429392e-02,1.062149604353750110e-01
9.209209209209209823e-02,1.000000000000000000e+00,2.006075381033683731e-03,2.168611208538174726e-02,1.072334571629507405e-01
9.309309309309309055e-02,1.000000000000000000e+00,2.064832508511178864e-03,2.203114232710096793e-02,1.082345416627103207e-01
9.409409409409409675e-02,1.000000000000000000e+00,2.125913126007831014e-03,2.239826721389466188e-02,1.092488294603555926e-01
9.509509509509508907e-02,1.000000000000000000e+00,2.187151820932475670e-03,2.276596131873384957e-02,1.102536491007685832e-01
9.609609609609609526e-02,1.000000000000000000e+00,2.250962872207936533e-03,2.312768295662143148e-02,1.112884086862474531e-01
9.709709709709710146e-02,1.000000000000000000e+00,2.314759051103486027e-03,2.348966433305956641e-02,1.123061406575042859e-01
9.809809809809809378e-02,1.000000000000000000e+00,2.380166122115167336e-03,2.386325838699848365e-02,1.133422149654274014e-01
9.909909909909909997e-02,1.000000000000000000e+00,2.448066112777236812e-03,2.424652952226104968e-02,1.143998093995165499e-01
1.001001001001000923e-01,1.000000000000000000e+00,2.517887462512983544e-03,2.463926830737977330e-02,1.154159136972320310e-01
1.011011011011010985e-01,1.000000000000000000e+00,2.588545112267264751e-03,2.503156763624105399e-02,1.164450902099943563e-01
1.021021021021021047e-01,1.000000000000000000e+00,2.661461737631137976e-03,2.541923122252430847e-02,1.175099170109872859e-01
1.031031031031030970e-01,1.000000000000000000e+00,2.732996293642644611e-03,2.581841464973532937e-02,1.185749142001624734e-01
1.041041041041041032e-01,1.000000000000000000e+00,2.808659620268552908e-03,2.622754386482287203e-02,1.196884300303981408e-01
1.051051051051051094e-01,1.000000000000000000e+00,2.885004575766270205e-03,2.664747406763831247e-02,1.207891324360961111e-01
1.061061061061061017e-01,1.000000000000000000e+00,2.960490191954670558e-03,2.706634183206378663e-02,1.219224744951140638e-01
1.071071071071071079e-01,1.000000000000000000e+00,3.039608866915608377e-03,2.747009930907868755e-02,1.230143581111207557e-01
1.081081081081081141e-01,1.000000000000000000e+00,3.117907038125286405e-03,2.788811197150518548e-02,1.240928621218106986e-01
1.091091091091091064e-01,1.000000000000000000e+00,3.200371776984877511e-03,2.829310502502398877e-02,1.251788193182568065e-01
1.101101101101101126e-01,1.000000000000000000e+00,3.285493180290524704e-03,2.870201689122175992e-02,1.262884151636593233e-01
1.111111111111111049e-01,1.000000000000000000e+00,3.368652049327854926e-03,2.912687031596709192e-02,1.273940517827499841e-01
1.121121121121121111e-01,1.000000000000000000e+00,3.454261699183744459e-03,2.953450289670458626e-02,1.284785107594262621e-01
1.131131131131131173e-01,1.000000000000000000e+00,3.544277733341554340e-03,2.999124930556221896e-02,1.296337662748144048e-01
1.141141141141141097e-01,1.000000000000000000e+00,3.632689892202665190e-03,3.042417581832045081e-02,1.307217557180887779e-01
1.151151151151151159e-01,1.000000000000000000e+00,3.722879629960100696e-03,3.086589054464436779e-02,1.318622526571122111e-01
1.161161161161161082e-01,1.000000000000000000e+00,3.815472036556554099e-03,3.131193101262998851e-02,1.330070905952648874e-01
1.171171171171171144e-01,1.000000000000000000e+00,3.907559701260306453e-03,3.175441644553272935e-02,1.340850682061565102e-01
1.181181181181181206e-01,1.000000000000000000e+00,4.000327525513779764e-03,3.219616337236966969e-02,1.351902460164880193e-01
1.191191191191191129e-01,1.000000000000000000e+00,4.096196280336330403e-03,3.265432753442640973e-02,1.363157804565421072e-01
