chieff,p_iso_flat,p_ali_flat,p_iso_high,p_ali_high,p_iso_low,p_ali_low
-0.803,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0
-0.802,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0
-0.801,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0
-0.8,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0
-0.799,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0
-0.798,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0
-0.797,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0
-0.796,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0
-0.795,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0
-0.794,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0
