chieff,FI,FA,HI,HA,LI,LA,FI0p5,FA0p5,HI0p5,HA0p5,LI0p5,LA0p5
-0.966,0,0,9999999999999991e-20,0,0,0,0,0,0.00019999999999999982,0,0,0
-0.965,0,0,9999999999999991e-20,0,0,0,0,0,0.00019999999999999982,0,0,0
-0.964,0,0,9999999999999991e-20,0,0,0,0,0,0.00019999999999999982,0,0,0
-0.963,0,0,9999999999999991e-20,0,0,0,0,0,0.00019999999999999982,0,0,0
-0.962,0,0,9999999999999991e-20,0,0,0,0,0,0.00019999999999999982,0,0,0
-0.961,0,0,9999999999999991e-20,0,0,0,0,0,0.00019999999999999982,0,0,0
-0.96,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0.0002999999999999997,0,0.00019999999999999982,0,0,0
-0.959,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0.0002999999999999997,0,0.00019999999999999982,0,0,0
-0.958,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0.0002999999999999997,0,0.00019999999999999982,0,0,0
-0.957,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0.0002999999999999997,0,0.00019999999999999982,0,0,0
-0.956,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0.0002999999999999997,0,0.00019999999999999982,0,0,0
-0.955,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0.0002999999999999997,0,0.00019999999999999982,0,0,0
-0.954,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0.0002999999999999997,0,0.00019999999999999982,0,0,0
-0.953,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0.0002999999999999997,0,0.00019999999999999982,0,0,0
-0.952,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0.0002999999999999997,0,0.00019999999999999982,0,0,0
-0.951,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0.0002999999999999997,0,0.00019999999999999982,0,0,0
-0.95,9999999999999991e-20,0,0.0004999999999999996,0,0,0,9999999999999991e-20,0,0.0005999999999999994,0,0,0
-0.949,9999999999999991e-20,0,0.0004999999999999996,0,0,0,9999999999999991e-20,0,0.0005999999999999994,0,0,0
-0.948,9999999999999991e-20,0,0.0004999999999999996,0,0,0,9999999999999991e-20,0,0.0005999999999999994,0,0,0
-0.947,9999999999999991e-20,0,0.0004999999999999996,0,0,0,9999999999999991e-20,0,0.0005999999999999994,0,0,0
-0.946,9999999999999991e-20,0,0.0004999999999999996,0,0,0,9999999999999991e-20,0,0.0005999999999999994,0,0,0
-0.945,9999999999999991e-20,0,0.0004999999999999996,0,0,0,9999999999999991e-20,0,0.0005999999999999994,0,0,0
